,,Transactions,,,,,,,,,,,,,,,,,,,,Quick Statistics,,,,,,,,,,
,,TicketID,DateTime,HelperColumn1,HelperColumn2,HelperColumn3,HelperColumn4,Item,Size,Category,Quantity,Total,__PowerAppsId__,ticketNum,Tax,CostToArb,Semester,Barcode,Profit,,,Question,Revenue,Tickets,Items,Date,,,,,,
,,Ch-04.21.23-16:09:36,4/21/2023,45037,1,,,Succulents,"04""",Cacti/Succulents,1,$6.00 ,6e4894e3-25f4-4cf7-80a7-16c17d20e82e,1, $0.42 ,,Spring 2023,,$5.58 ,,15,Current Plant Sale Revenue, $703.00 ,48,115,4/16/2025,1,507,38,38,103,103
,,Je-04.21.23-16:11:18,4/21/2023,45037,1,,,creeping inch,"04""",Misc. Houseplants,1,$3.00 ,d71b1acc-c275-4b5e-8f33-e48f36c9ff9c,2, $0.21 ,,Spring 2023,,$2.79 ,,14, Previous Plant Sale , $575.00 ,49,94,3/12/2025,2,1429,170,132,396,293
,,Je-04.21.23-16:11:18,4/21/2023,45037,1,,,Philodendron Heart Leaf,"08""",Philodendrons,1,$6.00 ,eddb96ae-47c8-487f-b7f7-8778baa83b32,2, $0.42 ,,Spring 2023,,$5.58 ,,, Record Values ," $1,429.00 ",132,293,Record Values,3,217,217,47,455,59
,,Je-04.21.23-16:11:18,4/21/2023,45037,1,,,creeping inch,"04""",Misc. Houseplants,1,$3.00 ,8fc0821c-b867-435a-ba31-25fdf55f9825,2, $0.21 ,,Spring 2023,,$2.79 ,,,,,,,,4,1244,326,109,684,229
,,Je-04.21.23-16:11:18,4/21/2023,45037,1,,,Upgraded Pot,,Stipend,1,$1.00 ,b097c9b4-28a5-4446-a38c-44e9b4fc268c,2, $0.07 ,,Spring 2023,,$0.93 ,,, Quick Stats will draw from the first 50 plant sales ,,,,,5,3,327,1,685,1
,,Ch-04.21.23-16:11:30,4/21/2023,45037,1,,,Calathea Freddie,"04""",Calathea/Maranta,1,$8.00 ,736a459d-c590-4de6-b04c-fec0c19cc7f2,3, $0.56 ,,Spring 2023,,$7.44 ,,," Extend this number by copying the cells in AA, AC, & AE down  ",,,,,6,1255,428,101,877,192
,,Ch-04.21.23-16:11:30,4/21/2023,45037,1,,,Ficus Burgundy,"04""",Ficus,1,$8.00 ,3a261a72-ae2c-4781-b5bf-16d84da4fde2,3, $0.56 ,,Spring 2023,,$7.44 ,,, more rows ,,,,,7,763,510,82,1049,172
,,Ch-04.21.23-16:11:30,4/21/2023,45037,1,,,Spider Plant,"04""",Misc. Houseplants,1,$4.00 ,3406d836-f3ee-422c-980d-567c797a0879,3, $0.28 ,,Spring 2023,,$3.72 ,,,,,,,,8,497,557,47,1136,87
